 TITLE="PROPELLER"
 VARIABLES= "X" "Y" "Z" 
 ZONE T="BLADE   1" F=POINT, I=  41 J=  22
  -0.1166797785322069E+00   0.3797319675727546E+00  -0.1303189780426255E+00
  -0.1134069735163432E+00   0.3866790016488745E+00  -0.1079757052238121E+00
  -0.1073514433486359E+00   0.3928766453173592E+00  -0.8262774835930005E-01
  -0.9876278697138358E-01   0.3977087371391571E+00  -0.5483761152645747E-01
  -0.8714252614338808E-01   0.4006432850724833E+00  -0.2577520826450764E-01
  -0.7288212307923134E-01   0.4014538500756261E+00   0.3769548276191536E-02
  -0.5651507917249258E-01   0.4001113812779655E+00   0.3301947617071380E-01
  -0.3841749825250046E-01   0.3967958982473739E+00   0.6109352149622393E-01
  -0.1909601509950985E-01   0.3918799215228310E+00   0.8723262200581679E-01
   0.6978532412256072E-03   0.3858480973888915E+00   0.1109082908358177E+00
   0.2093872340902949E-01   0.3793919102923508E+00   0.1313056801493017E+00
   0.4090669769324219E-01   0.3731397131107586E+00   0.1481423563143594E+00
   0.5985737666586897E-01   0.3676550506863354E+00   0.1612735779338264E+00
   0.7666845891829374E-01   0.3632973007573458E+00   0.1708639063616903E+00
   0.9015907678284009E-01   0.3602514348025307E+00   0.1771956742064201E+00
   0.1030614152553209E+00   0.3595632801883372E+00   0.1785879356926251E+00
   0.1082627153765200E+00   0.3595561395048154E+00   0.1786023117967501E+00
   0.1114738678127968E+00   0.3947919489907077E+00   0.1947039011616574E+00
   0.1128077557503026E+00   0.3965357224397947E+00   0.1911274782562679E+00
   0.1144244369498152E+00   0.4009974374822091E+00   0.1815801400157844E+00
   0.1100924500861830E+00   0.4063447721792508E+00   0.1692755689343350E+00
   0.1031738324900786E+00   0.4128431379665744E+00   0.1527443470291522E+00
   0.9343048767462520E-01   0.4197924572614958E+00   0.1324559735980423E+00
   0.8097389776358793E-01   0.4265187812803995E+00   0.1088669891681257E+00
   0.6628270021049737E-01   0.4324103176797032E+00   0.8241122059275785E-01
   0.4989857133040737E-01   0.4369117466350967E+00   0.5365088785583214E-01
   0.3271694255794757E-01   0.4395871782996277E+00   0.2309555779844755E-01
   0.1543582595110150E-01   0.4401107982019296E+00  -0.8530968380583008E-02
  -0.1578882979551516E-02   0.4383485124295373E+00  -0.4026007658042650E-01
  -0.1807596232940721E-01   0.4344198895289192E+00  -0.7106090132507226E-01
  -0.3379244693205144E-01   0.4286895355204632E+00  -0.9997786880454887E-01
  -0.4893719356604897E-01   0.4217957248568705E+00  -0.1259311661500729E+00
  -0.6291526076258366E-01   0.4144105523508178E+00  -0.1484391667173463E+00
  -0.7569833630411603E-01   0.4073291194249031E+00  -0.1668930213759194E+00
  -0.8662956834111736E-01   0.4011823082498915E+00  -0.1811713213031772E+00
  -0.9578617723647062E-01   0.3966386424263565E+00  -0.1909138010978434E+00
  -0.1067769261197137E+00   0.3950770886953632E+00  -0.1941246663962263E+00
  -0.1114738678127968E+00   0.3947919489907077E+00  -0.1947039011616574E+00
  -0.1144091905554822E+00   0.3969192329911742E+00  -0.1903297522647157E+00
  -0.1200875954887980E+00   0.4022784462821454E+00  -0.1787242114887435E+00
  -0.1203060910446306E+00   0.4084821345494195E+00  -0.1640507173693550E+00
