TITLE = "PROPAN_40"
VARIABLES="r/R","POTW","POT(1)","POT(N)","CP(1)","CP(N)","DELTACP"
ZONE T="BLADE WAKE T=0", I=    21 F=POINT
   0.4500221610901107E+01   0.2848045157327970E+00   0.9119069545821524E-02   0.2943191655285399E+00  -0.3418012280201518E-02  -0.3425311810922427E-02  -0.7299530720909168E-05
   0.7500221610901107E+01   0.2825376145860345E+00   0.9079571395880358E-02   0.2927837364589416E+00  -0.2741851034001454E-02  -0.2747477584037265E-02  -0.5626550035810630E-05
   0.1050022161090109E+02   0.2814718431398646E+00   0.9042567383065457E-02   0.2911167801449509E+00  -0.2414622234650002E-02  -0.2418886164749619E-02  -0.4263930099616692E-05
   0.1350022161090109E+02   0.2788875692329949E+00   0.9050177336403360E-02   0.2893169995697180E+00  -0.2283338550410094E-02  -0.2286656358518276E-02  -0.3317808108182010E-05
   0.1650022161090109E+02   0.2777741605284650E+00   0.9030280972555283E-02   0.2874868062305415E+00  -0.2246100914195751E-02  -0.2248661750427282E-02  -0.2560836231530611E-05
   0.1950022161090111E+02   0.2750440129501310E+00   0.9046835113436801E-02   0.2855869434261841E+00  -0.2258600937105319E-02  -0.2260636632623030E-02  -0.2035695517711624E-05
   0.2250022161090112E+02   0.2740271884791801E+00   0.9019235500409095E-02   0.2837059431875576E+00  -0.2293104624942743E-02  -0.2294714672970870E-02  -0.1610048028126594E-05
   0.2550022161090109E+02   0.2711713404737023E+00   0.9029982966372013E-02   0.2817724345759023E+00  -0.2272564285605468E-02  -0.2273903636816739E-02  -0.1339351211271378E-05
   0.2850022161090109E+02   0.2702871262482650E+00   0.8991261254991409E-02   0.2798761318933876E+00  -0.2255146084110946E-02  -0.2256248930507479E-02  -0.1102846396533377E-05
   0.3150022161090109E+02   0.2672935603365166E+00   0.8999141435617784E-02   0.2779281431822381E+00  -0.2214407891029018E-02  -0.2215379913765844E-02  -0.9720227368260025E-06
   0.3450022161090109E+02   0.2665826629259577E+00   0.8946732315881417E-02   0.2760310493584788E+00  -0.2160157424026618E-02  -0.2161012331217415E-02  -0.8549071907970954E-06
   0.3750022161090109E+02   0.2634040933843894E+00   0.8953145244145809E-02   0.2740738898430102E+00  -0.2101602376651083E-02  -0.2102420920523016E-02  -0.8185438719328191E-06
   0.4050022161090112E+02   0.2628570784322459E+00   0.8899677864149401E-02   0.2721727327348665E+00  -0.2055070394696241E-02  -0.2055856047163140E-02  -0.7856524668983268E-06
   0.4350022161090111E+02   0.2591851773091326E+00   0.8916444419980719E-02   0.2702049785420063E+00  -0.2011963382114468E-02  -0.2012664798019419E-02  -0.7014159049507571E-06
   0.4650022161090110E+02   0.2590938089856596E+00   0.8869083617685108E-02   0.2682991654782828E+00  -0.2026971506959813E-02  -0.2025855281635392E-02   0.1116225324420805E-05
   0.4950022161090111E+02   0.2553775547864954E+00   0.8916203492060036E-02   0.2663090906178912E+00  -0.2074777540775851E-02  -0.2073544853422883E-02   0.1232687352968696E-05
   0.5250022161090111E+02   0.2553391607084670E+00   0.8873615811581638E-02   0.2644117826456140E+00  -0.2180097232019966E-02  -0.2180303103638542E-02  -0.2058716185760097E-06
   0.5550022161090111E+02   0.2512800647358479E+00   0.8937886840835862E-02   0.2624223719916745E+00  -0.2296622352001761E-02  -0.2297049423046930E-02  -0.4270710451687726E-06
   0.5850022161090109E+02   0.2515185123886081E+00   0.8910195877335908E-02   0.2605288537163455E+00  -0.2451634481521832E-02  -0.2452500875105530E-02  -0.8663935836977256E-06
   0.6150022161090109E+02   0.2471946831070078E+00   0.8989525075881395E-02   0.2585456974657024E+00  -0.2602538233163489E-02  -0.2603573126051844E-02  -0.1034892888355284E-05
   0.6450022161090111E+02   0.2477471566647384E+00   0.8961336035316904E-02   0.2566772342287736E+00  -0.2768459715617645E-02  -0.2769461304953341E-02  -0.1001589335695736E-05
   0.6750022161090111E+02   0.2431431049218349E+00   0.9051199392003308E-02   0.2547097522295375E+00  -0.2904687013532032E-02  -0.2905682051027363E-02  -0.9950374953307875E-06
   0.7050022161090111E+02   0.2440354342172067E+00   0.9019744900932571E-02   0.2528701343593474E+00  -0.3042391140067898E-02  -0.3043340831813172E-02  -0.9496917452748652E-06
   0.7350022161090111E+02   0.2391123916424122E+00   0.9120649337799104E-02   0.2509194785239923E+00  -0.3146952063024749E-02  -0.3147935659928960E-02  -0.9835969042104944E-06
   0.7650022161090111E+02   0.2404198761071877E+00   0.9079453540382167E-02   0.2491192132370211E+00  -0.3260827120777116E-02  -0.3261828427284549E-02  -0.1001306507433190E-05
